date,temperature,humidity,windspeed,precipitation,weathercode,sunrise,sunset
2022-03-06,4.2,71,21.7,0.0,3,08:23,19:41
2022-03-07,2.5,63,20.9,0.0,3,08:21,19:43
2022-03-08,4.5,66,15.3,0.0,0,08:19,19:45
2022-03-09,7.8,76,18.0,0.0,3,08:17,19:46
2022-03-10,9.3,71,16.4,0.0,3,08:14,19:48
2022-03-11,9.6,78,24.7,2.7,53,08:12,19:49
2022-03-12,8.2,87,23.1,2.7,53,08:10,19:51
2022-03-13,8.4,82,24.8,5.5,55,08:08,19:52
2022-03-14,8.4,79,17.0,0.0,3,08:06,19:54
2022-03-15,9.5,89,11.5,9.1,61,08:04,19:55
2022-03-16,11.4,88,16.6,0.4,51,08:02,19:57
2022-03-17,8.8,75,21.6,0.5,51,08:00,19:58
2022-03-18,7.9,65,26.3,0.0,0,07:58,20:00
2022-03-19,10.0,56,22.1,0.0,0,07:56,20:01
2022-03-20,6.8,59,14.3,0.0,3,07:53,20:03
2022-03-21,10.2,77,11.2,0.0,3,07:51,20:05
2022-03-22,10.7,65,19.8,0.0,0,07:49,20:06
2022-03-23,9.7,61,12.0,0.0,0,07:47,20:08
2022-03-24,10.5,63,12.5,0.0,0,07:45,20:09
2022-03-25,11.2,56,16.9,0.0,0,07:43,20:11
2022-03-26,11.3,57,19.7,0.0,0,07:41,20:12
2022-03-27,12.0,63,12.7,0.0,0,07:39,20:14
2022-03-28,11.8,69,11.9,0.0,3,07:37,20:15
2022-03-29,11.4,74,12.4,5.9,61,07:35,20:17
2022-03-30,10.1,87,14.4,16.8,63,07:33,20:18
2022-03-31,5.6,77,25.8,1.1,51,07:31,20:20
2022-04-01,2.4,69,30.1,3.4,73,07:28,20:21
2022-04-02,3.3,57,30.5,0.0,3,07:26,20:23
2022-04-03,3.8,58,19.9,0.0,3,07:24,20:24
2022-04-04,4.6,69,21.3,0.1,51,07:22,20:26
2022-04-05,10.0,84,19.9,1.0,51,07:20,20:27
2022-04-06,9.7,76,30.0,0.5,51,07:18,20:29
2022-04-07,11.3,75,39.4,2.8,61,07:16,20:30
2022-04-08,6.3,86,24.1,30.8,73,07:14,20:31
2022-04-09,5.5,77,17.8,1.4,53,07:12,20:33
2022-04-10,6.5,70,15.4,0.0,3,07:10,20:34
2022-04-11,10.8,64,17.1,0.0,3,07:08,20:36
2022-04-12,14.4,68,20.3,0.0,3,07:06,20:37
2022-04-13,13.1,86,6.6,7.9,61,07:04,20:39
2022-04-14,13.7,79,13.4,0.3,51,07:02,20:40
2022-04-15,13.7,75,11.4,0.0,3,07:00,20:42
2022-04-16,12.8,72,17.6,0.0,3,06:58,20:43
2022-04-17,12.2,58,12.0,0.0,3,06:56,20:45
2022-04-18,12.4,58,18.7,0.0,3,06:54,20:46
2022-04-19,12.0,69,16.6,0.2,51,06:52,20:48
2022-04-20,12.4,62,18.5,0.0,3,06:50,20:49
2022-04-21,12.7,56,21.0,0.0,3,06:48,20:51
2022-04-22,13.8,59,19.5,0.0,3,06:46,20:52
2022-04-23,13.3,70,23.4,1.9,61,06:45,20:54
2022-04-24,13.4,68,13.0,0.2,51,06:43,20:55
2022-04-25,12.1,64,17.2,1.1,53,06:41,20:57
2022-04-26,10.4,71,15.0,0.2,51,06:39,20:58
2022-04-27,11.7,64,19.4,0.0,3,06:37,21:00
2022-04-28,14.2,62,18.1,0.0,3,06:35,21:01
2022-04-29,13.7,65,17.9,4.4,61,06:34,21:03
2022-04-30,11.2,64,19.3,0.0,3,06:32,21:04
2022-05-01,10.7,62,13.2,0.0,3,06:30,21:06
2022-05-02,12.9,62,14.0,0.1,51,06:29,21:07
2022-05-03,13.9,57,17.6,0.0,3,06:27,21:08
2022-05-04,12.9,67,15.3,0.0,3,06:25,21:10
2022-05-05,13.4,72,17.2,0.3,51,06:24,21:11
2022-05-06,15.0,68,12.7,0.0,3,06:22,21:13
2022-05-07,15.0,69,13.0,0.9,51,06:21,21:14
2022-05-08,15.8,69,15.1,0.2,51,06:19,21:16
2022-05-09,17.2,63,9.2,0.0,3,06:18,21:17
2022-05-10,19.9,57,23.3,0.0,3,06:16,21:18
2022-05-11,18.5,65,28.8,0.0,3,06:15,21:20
2022-05-12,16.1,63,14.9,0.0,3,06:13,21:21
2022-05-13,14.9,62,13.4,0.0,3,06:12,21:23
2022-05-14,16.0,63,11.3,0.0,3,06:10,21:24
2022-05-15,20.5,53,19.6,0.5,51,06:09,21:25
2022-05-16,20.0,67,21.2,0.5,53,06:08,21:27
2022-05-17,22.1,56,14.8,0.9,53,06:06,21:28
2022-05-18,21.7,66,16.0,0.0,3,06:05,21:29
2022-05-19,21.6,68,16.1,0.6,51,06:04,21:31
2022-05-20,17.4,80,25.3,20.2,63,06:03,21:32
2022-05-21,16.8,69,15.8,0.0,3,06:02,21:33
2022-05-22,18.2,67,16.6,0.1,51,06:01,21:34
2022-05-23,16.7,83,20.7,9.0,61,05:59,21:35
2022-05-24,13.5,73,19.7,9.7,63,05:58,21:37
2022-05-25,14.5,67,22.0,0.0,3,05:57,21:38
2022-05-26,16.3,69,16.0,0.2,51,05:57,21:39
2022-05-27,15.7,70,17.0,0.9,51,05:56,21:40
2022-05-28,14.3,66,20.3,0.1,51,05:55,21:41
2022-05-29,11.8,59,17.0,0.2,51,05:54,21:42
2022-05-30,12.7,62,11.6,0.0,3,05:53,21:43
2022-05-31,15.1,56,17.3,0.1,51,05:52,21:44
2022-06-01,14.9,60,18.6,0.0,3,05:52,21:45
2022-06-02,17.1,54,16.8,0.0,3,05:51,21:46
2022-06-03,17.9,70,9.7,5.9,63,05:50,21:47
2022-06-04,19.9,78,18.0,3.4,63,05:50,21:48
2022-06-05,18.8,77,26.8,3.4,63,05:49,21:49
2022-06-06,16.4,70,17.9,0.4,51,05:49,21:50
2022-06-07,17.4,72,20.7,1.8,55,05:48,21:51
2022-06-08,16.6,76,22.1,23.5,63,05:48,21:51
2022-06-09,15.9,67,20.6,0.1,51,05:48,21:52
2022-06-10,18.0,72,16.4,0.0,3,05:47,21:53
2022-06-11,19.1,72,14.8,0.0,3,05:47,21:53
2022-06-12,17.5,65,16.0,0.0,3,05:47,21:54
2022-06-13,16.5,64,13.8,0.0,2,05:47,21:54
2022-06-14,18.6,61,12.1,0.0,3,05:46,21:55
2022-06-15,21.7,56,12.6,0.0,3,05:46,21:55
2022-06-16,22.2,53,12.1,0.0,3,05:46,21:56
2022-06-17,24.6,52,8.4,0.0,3,05:46,21:56
2022-06-18,28.0,48,15.4,0.0,3,05:46,21:57
2022-06-19,20.9,67,30.0,1.7,55,05:47,21:57
2022-06-20,17.9,78,17.8,20.4,65,05:47,21:57
2022-06-21,19.1,72,16.2,1.6,53,05:47,21:57
2022-06-22,19.4,75,18.1,0.2,51,05:47,21:58
2022-06-23,21.3,72,16.0,6.3,63,05:47,21:58
2022-06-24,19.8,72,24.5,4.0,61,05:48,21:58
2022-06-25,16.7,83,18.2,10.2,63,05:48,21:58
2022-06-26,16.3,76,14.0,0.6,51,05:49,21:58
2022-06-27,17.2,70,17.4,3.7,61,05:49,21:58
2022-06-28,18.4,66,11.6,0.0,3,05:49,21:58
2022-06-29,18.7,65,17.8,0.0,3,05:50,21:58
2022-06-30,15.3,80,10.5,10.6,61,05:50,21:57
2022-07-01,15.8,69,15.4,0.2,51,05:51,21:57
2022-07-02,18.0,64,11.3,0.0,2,05:52,21:57
2022-07-03,17.9,65,17.6,0.0,2,05:52,21:57
2022-07-04,18.0,65,14.8,0.0,3,05:53,21:56
2022-07-05,18.2,65,18.6,0.0,1,05:54,21:56
2022-07-06,18.7,61,20.5,0.0,3,05:55,21:55
2022-07-07,18.7,68,19.5,0.1,51,05:55,21:55
2022-07-08,18.4,59,14.2,0.0,0,05:56,21:54
2022-07-09,21.3,59,22.6,0.0,3,05:57,21:54
2022-07-10,19.8,58,19.9,0.0,3,05:58,21:53
2022-07-11,22.4,55,14.8,0.0,3,05:59,21:52
2022-07-12,24.5,52,10.3,0.0,3,06:00,21:51
2022-07-13,26.8,39,19.6,0.0,3,06:01,21:51
2022-07-14,24.3,50,20.9,0.0,3,06:02,21:50
2022-07-15,21.0,45,16.4,0.0,0,06:03,21:49
2022-07-16,21.7,46,15.0,0.0,3,06:04,21:48
2022-07-17,23.7,41,13.7,0.0,3,06:05,21:47
2022-07-18,27.5,35,10.5,0.0,3,06:06,21:46
2022-07-19,30.3,35,27.3,0.0,1,06:07,21:45
2022-07-20,21.5,76,17.4,12.7,63,06:09,21:44
2022-07-21,20.8,73,11.1,0.1,51,06:10,21:43
2022-07-22,20.3,81,12.8,7.4,63,06:11,21:42
2022-07-23,21.0,76,13.0,2.6,61,06:12,21:41
2022-07-24,23.5,63,11.9,0.0,3,06:13,21:40
2022-07-25,22.4,59,22.3,1.2,53,06:14,21:38
2022-07-26,19.0,65,14.3,0.3,51,06:16,21:37
2022-07-27,19.4,57,16.6,0.0,3,06:17,21:36
2022-07-28,20.4,47,13.6,0.2,51,06:18,21:35
2022-07-29,22.0,46,11.1,0.0,3,06:20,21:33
2022-07-30,23.6,51,20.1,0.0,3,06:21,21:32
2022-07-31,22.4,65,16.2,0.0,3,06:22,21:30
2022-08-01,21.7,68,11.4,0.2,51,06:24,21:29
2022-08-02,23.1,59,12.5,0.0,3,06:25,21:27
2022-08-03,26.5,54,9.1,0.0,3,06:26,21:26
2022-08-04,23.7,64,18.6,1.9,53,06:28,21:24
2022-08-05,20.5,66,22.7,3.2,63,06:29,21:23
2022-08-06,18.5,44,20.9,0.0,0,06:30,21:21
2022-08-07,20.1,45,19.8,0.0,2,06:32,21:20
2022-08-08,21.4,46,20.0,0.0,0,06:33,21:18
2022-08-09,23.3,47,18.7,0.0,0,06:35,21:16
2022-08-10,25.5,39,18.7,0.0,1,06:36,21:15
2022-08-11,25.4,35,20.0,0.0,0,06:37,21:13
2022-08-12,25.4,36,17.4,0.0,0,06:39,21:11
2022-08-13,25.2,34,15.7,0.0,3,06:40,21:09
2022-08-14,21.6,55,15.5,3.4,63,06:41,21:08
2022-08-15,20.6,73,14.3,2.7,53,06:43,21:06
2022-08-16,20.5,77,11.1,17.2,63,06:44,21:04
2022-08-17,20.4,78,12.8,5.9,63,06:46,21:02
2022-08-18,20.7,74,15.9,5.8,61,06:47,21:00
2022-08-19,20.0,78,16.9,4.7,61,06:49,20:58
2022-08-20,18.6,69,13.4,0.0,3,06:50,20:57
2022-08-21,19.7,65,14.0,0.0,3,06:51,20:55
2022-08-22,21.1,65,10.7,0.0,3,06:53,20:53
2022-08-23,22.9,67,8.7,0.2,51,06:54,20:51
2022-08-24,24.3,60,10.2,0.0,3,06:56,20:49
2022-08-25,23.5,56,22.6,0.2,51,06:57,20:47
2022-08-26,21.3,66,18.7,0.6,51,06:58,20:45
2022-08-27,20.0,59,16.3,0.0,3,07:00,20:43
2022-08-28,20.1,60,18.2,0.0,3,07:01,20:41
2022-08-29,22.2,48,19.5,0.0,3,07:03,20:39
2022-08-30,20.9,56,17.7,1.5,53,07:04,20:37
2022-08-31,21.3,55,13.9,0.0,3,07:06,20:35
2022-09-01,22.0,60,13.0,0.0,3,07:07,20:33
2022-09-02,19.9,71,14.3,3.2,53,07:08,20:31
2022-09-03,19.1,79,17.7,3.1,61,07:10,20:29
2022-09-04,21.5,56,13.0,0.0,3,07:11,20:27
2022-09-05,21.9,56,14.5,0.3,51,07:13,20:25
2022-09-06,20.6,72,18.5,8.2,63,07:14,20:23
2022-09-07,18.1,85,20.5,6.1,61,07:15,20:20
2022-09-08,17.6,77,27.5,1.3,53,07:17,20:18
2022-09-09,17.0,75,28.0,6.7,63,07:18,20:16
2022-09-10,16.3,82,22.4,2.1,53,07:20,20:14
2022-09-11,16.3,81,9.0,0.0,3,07:21,20:12
2022-09-12,19.1,72,11.3,0.0,3,07:22,20:10
2022-09-13,20.5,74,19.3,1.8,61,07:24,20:08
2022-09-14,20.9,82,22.7,6.7,61,07:25,20:06
2022-09-15,18.4,74,20.6,0.9,53,07:27,20:03
2022-09-16,14.6,67,18.7,0.5,51,07:28,20:01
2022-09-17,11.8,63,19.6,0.0,3,07:30,19:59
2022-09-18,12.6,65,21.5,0.0,3,07:31,19:57
2022-09-19,12.9,67,16.2,0.0,3,07:32,19:55
2022-09-20,12.3,70,10.2,0.0,3,07:34,19:53
2022-09-21,12.8,72,13.0,0.0,3,07:35,19:51
2022-09-22,12.8,69,10.3,0.0,3,07:37,19:49
2022-09-23,14.3,66,9.8,0.0,3,07:38,19:47
2022-09-24,14.1,84,11.2,3.0,61,07:40,19:44
2022-09-25,13.8,74,16.8,0.0,3,07:41,19:42
2022-09-26,12.4,75,28.3,5.9,63,07:42,19:40
2022-09-27,11.5,82,24.6,4.8,61,07:44,19:38
2022-09-28,11.9,80,16.8,2.4,53,07:45,19:36
2022-09-29,10.9,81,10.2,0.9,51,07:47,19:34
2022-09-30,11.6,73,22.7,0.5,53,07:48,19:32
2022-10-01,16.1,74,31.5,7.0,63,07:50,19:29
2022-10-02,15.5,87,29.0,12.4,63,07:51,19:27
2022-10-03,12.0,86,10.6,0.0,3,07:53,19:25
2022-10-04,12.6,84,11.7,0.0,3,07:54,19:23
2022-10-05,16.0,78,29.8,0.0,3,07:56,19:21
2022-10-06,14.1,70,16.9,0.0,3,07:57,19:19
2022-10-07,11.9,75,9.7,0.0,2,07:58,19:17
2022-10-08,12.6,76,14.7,0.0,3,08:00,19:15
2022-10-09,10.9,79,12.8,0.0,1,08:01,19:13
2022-10-10,14.0,84,16.9,2.5,61,08:03,19:11
2022-10-11,12.4,75,15.8,0.0,3,08:04,19:09
2022-10-12,11.8,82,8.5,0.0,3,08:06,19:07
2022-10-13,13.8,85,15.6,10.1,63,08:07,19:05
2022-10-14,15.1,93,18.1,5.2,55,08:09,19:03
2022-10-15,16.1,83,22.9,2.6,53,08:10,19:01
2022-10-16,16.4,86,14.4,0.5,51,08:12,18:59
2022-10-17,17.1,88,20.8,13.7,63,08:14,18:57
2022-10-18,16.8,91,13.5,1.4,51,08:15,18:55
2022-10-19,17.2,86,20.1,0.1,51,08:17,18:53
2022-10-20,17.4,83,22.4,4.5,61,08:18,18:51
2022-10-21,16.5,83,21.8,12.6,63,08:20,18:50
2022-10-22,16.1,80,18.1,0.0,3,08:21,18:48
2022-10-23,17.6,74,36.1,1.2,53,08:23,18:46
2022-10-24,16.4,70,31.2,0.7,51,08:24,18:44
2022-10-25,14.9,84,18.6,0.1,51,08:26,18:42
2022-10-26,17.1,80,18.7,2.2,61,08:28,18:40
2022-10-27,17.2,79,17.0,0.0,3,08:29,18:39
2022-10-28,18.7,73,18.7,0.0,3,08:31,18:37
2022-10-29,18.7,74,17.1,0.0,3,08:32,18:35
2022-10-30,14.6,84,17.5,0.3,51,08:34,18:34
2022-10-31,15.0,86,24.9,6.1,63,08:35,18:32
2022-11-01,14.2,73,30.3,0.6,51,08:37,18:30
2022-11-02,12.5,77,24.8,0.0,3,08:39,18:29
2022-11-03,12.0,83,28.2,6.7,63,08:40,18:27
2022-11-04,9.6,84,22.8,6.0,61,08:42,18:26
2022-11-05,8.6,84,18.2,0.2,51,08:43,18:24
2022-11-06,10.3,83,24.8,15.1,65,08:45,18:23
2022-11-07,13.0,83,30.4,0.0,3,08:46,18:21
2022-11-08,13.3,76,27.9,1.7,55,08:48,18:20
2022-11-09,12.5,83,23.3,1.2,55,08:50,18:18
2022-11-10,9.7,89,15.2,0.0,3,08:51,18:17
2022-11-11,8.7,92,15.4,0.0,3,08:53,18:15
2022-11-12,10.2,94,9.6,0.0,3,08:54,18:14
2022-11-13,9.0,96,9.0,0.0,3,08:56,18:13
2022-11-14,9.6,93,16.8,0.0,3,08:58,18:11
2022-11-15,10.8,90,22.9,6.5,63,08:59,18:10
2022-11-16,10.7,87,35.5,6.2,61,09:01,18:09
2022-11-17,11.7,76,38.7,1.3,53,09:02,18:08
2022-11-18,8.6,86,21.6,0.5,51,09:04,18:07
2022-11-19,6.9,87,16.3,0.4,51,09:05,18:06
2022-11-20,6.7,85,24.6,1.8,55,09:07,18:05
2022-11-21,7.2,91,25.2,6.4,63,09:08,18:04
2022-11-22,7.5,80,29.4,3.8,61,09:10,18:03
2022-11-23,7.9,85,24.9,2.8,61,09:11,18:02
2022-11-24,9.8,81,25.0,0.3,51,09:12,18:01
2022-11-25,9.1,88,24.0,3.9,63,09:14,18:00
2022-11-26,6.1,94,17.7,0.0,3,09:15,18:00
2022-11-27,7.5,87,18.7,6.8,61,09:17,17:59
2022-11-28,8.5,91,17.1,5.5,61,09:18,17:58
2022-11-29,6.3,95,8.8,1.6,53,09:19,17:58
2022-11-30,6.2,90,16.1,0.0,3,09:21,17:57
2022-12-01,5.1,88,16.5,0.0,3,09:22,17:56
2022-12-02,4.4,85,18.8,1.5,51,09:23,17:56
2022-12-03,3.2,85,21.1,0.1,51,09:25,17:55
2022-12-04,2.6,84,14.7,1.4,73,09:26,17:55
2022-12-05,2.2,90,10.5,2.4,73,09:27,17:55
2022-12-06,2.6,93,9.7,0.0,3,09:28,17:54
2022-12-07,1.6,96,6.8,0.0,3,09:29,17:54
2022-12-08,2.2,93,6.6,0.0,3,09:30,17:54
